code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
LHR,VNCG,Sân bay Heathrow,26.5707714,88.07832041,249,,Asia/Kathmandu,BDP,NP,Bhadrapur,Eastern Region,,AP
FRA,VABO,Sân bay qu?c t? Frankfurt,22.33681675,73.22706887,144,http://aai.aero/allAirports/vadodara_generalinfo.jsp,Asia/Kolkata,BDQ,IN,Vadodara,Gujarat,Vadodara,AP
BJS,KBDR,Sân bay qu?c t? B?c Kinh,41.16271485,-73.12617523,22,,America/New_York,BDR,US,,,,AP
SHA,LIBR,Sân bay qu?c t? H?ng Ki?u,40.661605,17.94857755,16,http://www.seap-puglia.it/default.asp?idlingua=2&idcontenuto=29,Europe/Rome,BDS,IT,Materdomini,Apulia,Provincia di Brindisi,AP
CAN,FZFD,Sân bay qu?c t? B?ch Vân,4.083333,22.45,1318,,Africa/Kinshasa,BDT,CD,Ouango,Mbomou,,AP
HGH,ENDU,Sân bay qu?c t? Tiêu S?n,69.05482565,18.54066538,196,https://avinor.no/en/airport/bardufoss-airport/,Europe/Oslo,BDU,NO,Moen,Troms,Malselv,AP
CTU,FZRB,Sân bay qu?c t? Song L?u,-7,29.8,2536,,Africa/Lubumbashi,BDV,CD,Karema,Katavi,,AP
TPE,YBDF,Sân bay qu?c t? ?ào Viên,-17.2872764,127.464074,1738,,Australia/Perth,BDW,AU,,,,AP
KHH,00F,Sân bay qu?c t? Cao Hùng,45.466667,-105.36667,3077,,America/Denver,BDX,US,Broadus,Montana,Powder River County,AP
FUK,S05,Sân bay Fukuoka,43.11667,-124.416664,52,,America/Los_Angeles,BDY,US,Bandon,Oregon,Coos County,AP
NGO,AYBG,Sân bay qu?c t? Chubu Centrair,-6.34697415,146.9418623,4373,,Pacific/Port_Moresby,BDZ,PG,,,,AP
KIX,,Sân bay qu?c t? Kansai,-8.65,146.48334,193,,Pacific/Port_Moresby,BEA,PG,,,,AP
NRT,EGPL,Sân bay qu?c t? Narita,57.4807797,-7.365274894,32,http://www.hial.co.uk/benbecula-airport.html,Europe/London,BEB,GB,Benbecula,Scotland,Eilean Siar,AP
HND,KBEC,Sân bay qu?c t? Tokyo,37.683334,-97.333336,1295,,America/Chicago,ICT,US,,,,AP
OSA,KBED,Sân bay qu?c t? Osaka,42.46795055,-71.28436914,88,http://www.massport.com/hansc/,America/New_York,BED,US,Bedford,Massachusetts,Middlesex County,AP
